Input,Gain,Offset
Int 0,6.1108,0.0115
Int 1,5.9452,0.0473
Int 2,6.0125,0.0339
Int 3,5.9588,0.0259
Int 4,6.0933,0.0413
Int 5,5.9735,0.0255
Int 6,6.0603,0.0032
Int 7,5.8402,0.0181
Int 8,6.0360,0.0363
Int 9,5.9755,0.0560
Int 10,5.8941,0.0247
Int 11,6.1357,0.0288
Ext 0,1.0141,-0.0325
Ext 1,1.0104,-0.0413
Ext 2,1.0081,-0.0281
Ext 3,1.0081,-0.0276
